Date,Narration,Debit,Credit
01-01-2025,Zomato Order #4521,349.00,
01-01-2025,Salary January 2025,,45000.00
02-01-2025,Uber Ride to Office,185.00,
02-01-2025,Airtel Prepaid Recharge,299.00,
03-01-2025,Amazon Purchase - Headphones,1299.00,
03-01-2025,Swiggy Delivery #8823,420.00,
04-01-2025,MSEB Electricity Bill,1150.00,
05-01-2025,Netflix Subscription,649.00,
05-01-2025,Starbucks Coffee,520.00,
06-01-2025,BigBasket Grocery Order,1340.00,
07-01-2025,Ola Cab Airport Drop,750.00,
07-01-2025,Zomato Order #4789,275.00,
08-01-2025,Apollo Pharmacy,380.00,
09-01-2025,Flipkart Order - Shoes,2499.00,
09-01-2025,Rapido Bike Ride,45.00,
10-01-2025,Spotify Premium,119.00,
10-01-2025,UPI Transfer to Riya,,2000.00
11-01-2025,Blinkit Grocery,860.00,
12-01-2025,Swiggy Delivery #9102,310.00,
13-01-2025,Indian Oil Petrol,800.00,
13-01-2025,Zomato Order #5001,199.00,
14-01-2025,DMart Purchase,2100.00,
15-01-2025,Myntra Fashion Sale,1599.00,
15-01-2025,BookMyShow - Pushpa 2,450.00,
16-01-2025,Gym Membership January,1500.00,
17-01-2025,Uber Ride,220.00,
18-01-2025,Netmeds Order,520.00,
18-01-2025,Zomato Order #5234,390.00,
19-01-2025,Amazon Purchase - Books,599.00,
20-01-2025,Jio Postpaid Bill,399.00,
20-01-2025,Restaurant Dinner - Mainland China,1800.00,
21-01-2025,BigBasket Weekly Order,950.00,
22-01-2025,Udemy Course Python,499.00,
22-01-2025,Swiggy Delivery #9567,280.00,
23-01-2025,ATM Withdrawal,3000.00,
24-01-2025,Ola Cab,120.00,
25-01-2025,Zomato Order #5489,320.00,
26-01-2025,Myntra Purchase,899.00,
27-01-2025,MSEB Electricity Bill,1200.00,
28-01-2025,Rapido Bike Ride,60.00,
29-01-2025,Blinkit Order,740.00,
30-01-2025,Swiggy Delivery #9812,410.00,
31-01-2025,Freelance Payment Received,,8000.00
01-02-2025,Zomato Order #5700,449.00,
01-02-2025,Salary February 2025,,45000.00
02-02-2025,Uber Ride,155.00,
03-02-2025,Airtel Prepaid Recharge,299.00,
03-02-2025,Amazon Purchase - Jacket,3499.00,
04-02-2025,Swiggy Delivery #10023,380.00,
05-02-2025,Netflix Subscription,649.00,
05-02-2025,Starbucks Coffee,480.00,
06-02-2025,BigBasket Grocery Order,1180.00,
07-02-2025,Ola Cab,95.00,
08-02-2025,Zomato Order #5934,275.00,
09-02-2025,Apollo Pharmacy,240.00,
10-02-2025,Flipkart Purchase - Smartwatch,4999.00,
10-02-2025,Spotify Premium,119.00,
11-02-2025,Rapido Bike Ride,45.00,
12-02-2025,MSEB Electricity Bill,1350.00,
13-02-2025,Blinkit Grocery,920.00,
14-02-2025,Restaurant - Valentine Dinner,3500.00,
14-02-2025,BookMyShow - Concert Ticket,1200.00,
15-02-2025,Indian Oil Petrol,600.00,
15-02-2025,Zomato Order #6102,310.00,
16-02-2025,DMart Purchase,1850.00,
17-02-2025,Gym Membership February,1500.00,
17-02-2025,Swiggy Delivery #10456,350.00,
18-02-2025,Jio Postpaid Bill,399.00,
19-02-2025,Amazon Purchase - Earphones,1799.00,
19-02-2025,Uber Ride,200.00,
20-02-2025,Zomato Order #6289,420.00,
21-02-2025,Netmeds Order,380.00,
22-02-2025,BigBasket Weekly Order,1080.00,
23-02-2025,ATM Withdrawal,2000.00,
24-02-2025,Swiggy Delivery #10789,290.00,
25-02-2025,Myntra Fashion Purchase,1299.00,
25-02-2025,Rapido Bike Ride,55.00,
26-02-2025,Zomato Order #6478,360.00,
27-02-2025,Restaurant - Lunch Meeting,950.00,
28-02-2025,Freelance Payment Received,,5000.00
01-03-2025,Zomato Order #6700,299.00,
01-03-2025,Salary March 2025,,45000.00
02-03-2025,Airtel Prepaid Recharge,299.00,
02-03-2025,Uber Ride,175.00,
03-03-2025,Swiggy Delivery #11002,330.00,
04-03-2025,Netflix Subscription,649.00,
04-03-2025,Amazon Purchase - Home Decor,2199.00,
05-03-2025,BigBasket Grocery Order,1260.00,
05-03-2025,Starbucks Coffee,560.00,
06-03-2025,Ola Cab,130.00,
07-03-2025,Zomato Order #6934,250.00,
07-03-2025,Apollo Pharmacy,450.00,
08-03-2025,Spotify Premium,119.00,
08-03-2025,Blinkit Order,800.00,
09-03-2025,MSEB Electricity Bill,1100.00,
10-03-2025,Flipkart Holi Sale - Clothing,3200.00,
10-03-2025,Swiggy Delivery #11345,410.00,
11-03-2025,Indian Oil Petrol,750.00,
11-03-2025,BookMyShow - IPL Ticket,2500.00,
12-03-2025,Gym Membership March,1500.00,
12-03-2025,Rapido Bike Ride,50.00,
13-03-2025,Zomato Order #7102,380.00,
14-03-2025,Jio Postpaid Bill,399.00,
14-03-2025,Restaurant - Holi Celebration,2200.00,
15-03-2025,DMart Purchase,2350.00,
15-03-2025,Uber Ride,210.00,
16-03-2025,Amazon Purchase - Skincare,1100.00,
17-03-2025,Swiggy Delivery #11678,320.00,
17-03-2025,Zomato Order #7289,290.00,
18-03-2025,Netmeds Medicine Order,620.00,
19-03-2025,BigBasket Weekly Order,1020.00,
20-03-2025,ATM Withdrawal,4000.00,
20-03-2025,Myntra Holi Sale,2100.00,
21-03-2025,Rapido Bike Ride,65.00,
21-03-2025,Zomato Order #7456,410.00,
22-03-2025,Ola Cab,145.00,
23-03-2025,Swiggy Delivery #12001,350.00,
24-03-2025,Restaurant - Team Dinner,3800.00,
25-03-2025,Amazon Purchase - Gadget,5499.00,
25-03-2025,Freelance Payment Received,,12000.00
26-03-2025,Zomato Order #7634,330.00,
27-03-2025,Starbucks Coffee,490.00,
28-03-2025,BigBasket Grocery Order,1150.00,
28-03-2025,Uber Ride,190.00,
29-03-2025,Blinkit Order,680.00,
30-03-2025,Swiggy Delivery #12234,370.00,
31-03-2025,Zomato Order #7812,260.00,
